date,compound,neg,neu,normalized,pos,source,text,url
2019-10-11,-0.3818,0.151,0.753,-1,0.096,Marketwatch.com,"New York Fed President John Williams was criticized for reacting slowly to the turmoil in short-term lending markets in September
The Federal Reserve, in a surprise announcement, set in motion a plan Friday to ease unexpected strains seen in short-term money… [+2449 chars]",https://www.marketwatch.com/story/fed-says-it-will-start-to-buy-treasury-bills-next-week-to-ease-money-market-pressure-2019-10-11-111034716
2019-10-11,0.431,0.0,0.933,1,0.067,Marketwatch.com,"On Monday, my MarketWatch colleague Barbara Kollmeyer reported that noted investor Jim Rogers, chairman of Rogers Holdings, declared in an interview that despite horrible fundamentals, hes buying the U.S. dollar anyway.
Nobody in his right mind would buy the… [+4986 chars]",https://www.marketwatch.com/story/why-the-us-dollar-will-continue-to-reign-supreme-2019-10-11
2019-10-11,-0.9017,0.213,0.787,-1,0.0,Project-syndicate.org,"Although austerity measures do not command the same attention that they did in the aftermath of the 2008 financial crisis, they are still central to the prevailing policy playbook. Worse, the longer that governments cling to this failed policy approach, the h… [+2025 chars]",https://www.project-syndicate.org/onpoint/the-insanity-of-austerity-by-isabel-ortiz-and-matthew-cummins-2019-10
2019-10-11,-0.4215,0.119,0.801,-1,0.08,Seekingalpha.com,"Investment Thesis
Although facing challenges in its two core markets and in executing its expansion plans, plus a lost decade cleaning up a money-laundering and a tax-evasion scandals, there might be value in HSBC (HSBC): its core businesses have proved to b… [+13713 chars]",https://seekingalpha.com/article/4296023-hsbc-despite-continuous-challenges-might-value-banking-giant
2019-10-11,-0.9017,0.213,0.787,-1,0.0,Project-syndicate.org,"Although austerity measures do not command the same attention that they did in the aftermath of the 2008 financial crisis, they are still central to the prevailing policy playbook. Worse, the longer that governments cling to this failed policy approach, the h… [+2025 chars]",https://www.project-syndicate.org/onpoint/the-insanity-of-austerity
2019-10-12,-0.6808,0.118,0.882,-1,0.0,Ritholtz.com,"Our guest this week is Binyamin Appelbaum, the lead business and economics writer for the New York Times Editorial Board. He was part of a team at the Charlotte Observer in 2007 discussing the high rate of housing foreclosures and questionable sales practices… [+1878 chars]",https://ritholtz.com/2019/10/mib-binyamin-appelbaum/
2019-10-13,-0.763,0.166,0.803,-1,0.031,Autoblog.comhttps,"FREEPORT, Ill. For America's working poor, an often essential ingredient for getting and keeping a job having a car has rarely been more costly, and millions of people are finding it impossible to keep up with payments despite prolonged economic growth and lo… [+6173 chars]",https://www.autoblog.comhttps://www.autoblog.com/2019/10/13/rising-prices-used-cars-basic-transportation-crisis/
2019-10-14,0.743,0.0,0.877,1,0.123,Calculatedriskblog.com,"From Reuters: Oil falls due to caution over first phase of U.S.-China trade deal
Oil prices fell more than 2% on Monday as scant details about the first phase of a trade deal between the United States and China undercut optimism over a U.S.-Sino thaw that ha… [+736 chars]",https://www.calculatedriskblog.com/2019/10/oil-prices.html
2019-10-14,0.8807,0.043,0.711,1,0.245,The Times of India,"Edited extracts from the discussion:On Free TradePaul Krugman: Alan Blinder, a colleague of mine, has proposed on several occasions that economists should stop chanting that free trade is good for you. While globalisation is indeed good, I think there is a re… [+7714 chars]",https://economictimes.indiatimes.com/news/politics-and-nation/when-two-nobel-laureates-abhijit-vinayak-banerjee-and-paul-krugman-met-at-et-gbs-2015/articleshow/71586807.cms
2019-10-14,-0.296,0.143,0.717,-1,0.14,Ritholtz.com,"Out of the destruction of the Post-World War economies, began the rise of the economists. Beginning in the United States, then going global, economists created new ideas about deficits, monetary and fiscal policy, that slowly gained traction. By the late 20th… [+1680 chars]",https://ritholtz.com/2019/10/mib-economists-are-so-over/
