score,text,tone_id,tone_name,url
0.66,"<ul><li>Share to facebook</li><li>Share to twitter</li><li>Share to linkedin</li></ul>
Randal Quarles, Chair of the Financial Stability Board and Vice Chairman of Supervision at the Federal Reserve
Andrew Harrer/Bloomberg
It is hard to believe that it has … [+14584 chars]",tentative,Tentative,https://www.forbes.com/sites/mayrarodriguezvalladares/2019/06/25/randal-quarles-warns-of-vulnerabilities-in-the-global-financial-system/
0.56,"Michael Kruse is a senior staff writer for Politico.
In the middle of the volatile fall of 2008, with foreclosures skyrocketing and companies failing and unemployment spiking and the stock market sinking, 80 rattled first-semester Harvard Law School students… [+17505 chars]",sadness,Sadness,https://www.politico.com/magazine/story/2019/06/25/elizabeth-warren-harvard-law-school-financial-crisis-great-recession-227214
0.5,"Andrew Yang didnt set out to become a test prep tycoon.
<ol><li>
Who Is That Guy? A Guide to the Underdogs of the 2020 Democratic Debates
 </li><li>
Nobody Actually Knows What Forgiving Everyones Student Debt Would Cost
 </li><li>
Bernie Sanders Plan to… [+11925 chars]",tentative,Tentative,https://slate.com/news-and-politics/2019/06/andrew-yang-2020-presidential-campaign-manhattan-prep.html
0.53,"A WELL-KNOWN stockmarket sell signal is a company splurging on flashy new headquarters. It might then be time to go short the City of London. From the Shard, the tallest building in the European Union, the view is of a crowded skyline of fellow concept skyscr… [+17414 chars]",tentative,Tentative,https://www.economist.com/finance-and-economics/2019/06/29/londons-reign-as-the-worlds-capital-of-capital-is-at-risk
0.69,"A new high for the U.S. stock market before a trade deal with China is completed was a surprise, even though we had another 90% done quote from the Trump administration this week. 
The moral here is never to underestimate the ability of the Twitter account o… [+4853 chars]",joy,Joy,https://www.marketwatch.com/story/a-china-trade-deal-could-cancel-federal-reserve-interest-rate-cuts-2019-06-27
0.94,"This week, news broke that Jony Ive is leaving Apple after more than 20 years to open his own design firm, Loveform. He’ll keep designing projects for Apple, though no doubt, to a far lesser capacity as he takes on other clients and interests as well. As Ive … [+6505 chars]",confident,Confident,https://www.fastcompany.com/90370709/jony-ive-is-leaving-apple-at-the-worst-time?partner=feedburner&utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+fastcodesign%2Ffeed+%28Co.Design%29
0.5,"Image copyrightGetty ImagesImage caption
 Angela Merkel and Donald Trump in talks at the G20 2017 summit
World leaders from 19 countries and the European Union are meeting in Osaka, Japan, from Friday.
They are the ""Group of 20"" G20 for short but what exac… [+4853 chars]",joy,Joy,https://www.bbc.co.uk/news/world-48776664
0.71,Viewers of the Democratic presidential debates learned quite a bit this week—from Joe Biden’s views of school busing to Marianne Williamson’s plan to defeat President Donald Trump with love. But I’d bet the next president will be consumed by an issue not a si… [+7612 chars],joy,Joy,https://www.theatlantic.com/ideas/archive/2019/06/debate-moderators-dont-know-about-national-security/593008/
0.66,"LONDON (Reuters) - Deutsche Bank plans to hire 300 more relationship and investment mangers for its wealth management business by 2021, as part of a plan to bulk up in areas the German lender hopes will bring steadier revenue streams. 
Deutsche Bank is in th… [+3635 chars]",tentative,Tentative,https://www.reuters.com/article/us-deutsche-bank-wealth-idUSKCN1TV0B6
0.61,"* Plans to hire 300 new relationship, investment managers
* Part efforts to find more stable revenue sources
* Hires to be across Europe, America and Emerging Markets
By Sinead Cruise and Simon Jessop
LONDON, June 30 (Reuters) - Deutsche Bank plans to hir… [+3828 chars]",analytical,Analytical,https://news.yahoo.com/deutsche-bank-wealth-management-hiring-090000144.html
0.71,"Despite working for a bank for 13 years of my professional life, Ive always felt as if I had a very superficial relationship with the bank. I treated my bank like it treated mea transactional counterpart. I only go into a branch unless I absolutely have to an… [+5365 chars]",sadness,Sadness,https://www.psfk.com/2019/07/op-ed-financial-gym-community-banking.html
0.85,"The drafters of the Declaration of Independence made sure to list fundamental rights as those of ""life, liberty, and the pursuit of happiness."" Since then, working hard to attain the good life has become a cornerstone of the American Dream. 
 The above map s… [+610 chars]",joy,Joy,https://www.businessinsider.com/50-maps-that-explain-how-america-lives-spends-and-believes-2019-6
0.55,"FRANKFURT (Reuters) - A shrewd negotiator who has run the IMF but has little monetary policy experience, Christine Lagarde would face the challenge as the European Central Bank’s new chief of having to revive the euro zone economy with a nearly depleted polic… [+2991 chars]",fear,Fear,https://www.reuters.com/article/us-eu-summit-ecb-lagarde-idUSKCN1TX22O
0.58,"The issue of a dedicated liquidity window cropped up soon after the IL&amp;FS crisis surfaced last year.
Hit by liquidity crunch and high cost of borrowings, non-banking finance companies on Tuesday sought short-term and long-term measures from the governmen… [+4013 chars]",sadness,Sadness,https://indianexpress.com/article/business/fund-starved-nbfcs-seek-dedicated-liquidity-window-5811929/
0.62,"Dalio and his team were confident the financial crisis was on its way and planned accordingly. Bridgewater, then, performed relatively well when it did hit, and this brought an influx of attention and new clients. In 2010, Bridgewater had its best year ever. … [+1411 chars]",joy,Joy,https://www.businessinsider.com/ray-dalio-shares-top-lessons-from-career-at-bridgewater-2019-7
0.51,"In all but a few of the most expensive cities in the USA, median rents on one- and two-bedroom apartments have fallen, sometimes quite sharply (for example, in NYC median asking rents on a one bedroom are down to $2940, a 12.8%/$430 decline from their peak in… [+3037 chars]",sadness,Sadness,https://boingboing.net/2019/07/03/not-in-sf-though.html
0.55,"Canadian employment dropped in June, although not enough to dent what was otherwise a stellar first half of 2019 that saw robust hiring and a sustained pick-up in wage growth.
Over all, Canadas labour market added nearly 250,000 jobs over the first six month… [+3791 chars]",analytical,Analytical,https://www.theglobeandmail.com/business/article-canadas-economy-lost-jobs-in-june-but-not-enough-to-dent-a-stellar/
0.67,"(CNN)President Donald Trump on Friday continued his public pressure campaign on the Federal Reserve to cut interest rates to juice the US economy. The irony is he already has the economy that he wants.
New job numbers for the month of June came in stronger t… [+4268 chars]",sadness,Sadness,https://www.cnn.com/2019/07/05/politics/economy-donald-trump-federal-reserve/index.html
0.78,"Image copyrightAndy ScottImage caption
 Andy Scott managed to rebuild his business empire and personal fortune
The BBC's weekly The Boss series profiles different business leaders from around the world. This week we speak to serial UK entrepreneur Andy Scot… [+5956 chars]",joy,Joy,https://www.bbc.co.uk/news/business-48868730
0.71,"This is an OZY Special Briefing, an extension of the Presidential Daily Brief. The Special Briefing tells you what you need to know about an important issue, individual or story that is making news. Each one serves up an interesting selection of facts, opinio… [+4639 chars]",joy,Joy,https://www.ozy.com/need-to-know/deutsche-banks-loss-the-global-economys-gain/95435
0.86,"LONDON (Reuters) - Shipping companies, refineries, freight derivatives or diesel cracks? Investment funds are placing their bets as the shipping sector prepares for new rules limiting sulfur emissions from ocean-going vessels. 
Ever since the International M… [+6636 chars]",tentative,Tentative,https://www.reuters.com/article/us-shipping-imo-funds-analysis-idUSKCN1U30D0
